,Loss_mae,Threshold,Anomaly
6.965986394557823-7.058866213151927,0.6187337011843531,0.4226,True
7.058866213151927-7.151746031746032,0.58295010065071,0.4226,True
7.151746031746032-7.244625850340136,0.5783396753434178,0.4226,True
7.244625850340136-7.337505668934241,0.6083138947933295,0.4226,True
7.337505668934241-7.430385487528345,0.6600208085757762,0.4226,True
7.430385487528345-7.5232653061224495,0.5598354991959177,0.4226,True
7.5232653061224495-7.616145124716553,0.5852971461860778,0.4226,True
7.616145124716553-7.7090249433106575,0.5911936659578102,0.4226,True
7.7090249433106575-7.801904761904762,0.6657454051909991,0.4226,True
7.801904761904762-7.894784580498866,0.6069918422061767,0.4226,True
7.894784580498866-7.987664399092971,0.6380330927075681,0.4226,True
7.987664399092971-8.080544217687075,0.5646308771906808,0.4226,True
8.080544217687075-8.17342403628118,0.6175406492786605,0.4226,True
8.17342403628118-8.266303854875284,0.6569470830053435,0.4226,True
8.266303854875284-8.359183673469389,0.5585691328874495,0.4226,True
8.359183673469389-8.452063492063493,0.5508979786692257,0.4226,True
8.452063492063493-8.544943310657597,0.5812617812894223,0.4226,True
8.544943310657597-8.6378231292517,0.6071673520171076,0.4226,True
8.6378231292517-8.730702947845804,0.5648492225593379,0.4226,True
8.730702947845804-8.823582766439909,0.5961029703585562,0.4226,True
8.823582766439909-8.916462585034013,0.5625761795780732,0.4226,True
8.916462585034013-9.009342403628118,0.6458974371331524,0.4226,True
9.009342403628118-9.102222222222222,0.56226261961793,0.4226,True
9.102222222222222-9.195102040816327,0.574357020310675,0.4226,True
9.195102040816327-9.287981859410431,0.533247869091681,0.4226,True
9.287981859410431-9.380861678004536,0.5997859972450782,0.4226,True
9.380861678004536-9.47374149659864,0.6255194637267564,0.4226,True
9.47374149659864-9.566621315192744,0.5700407127994292,0.4226,True
9.566621315192744-9.659501133786849,0.5748231610074435,0.4226,True
9.659501133786849-9.752380952380953,0.573559203349212,0.4226,True
9.752380952380953-9.845260770975058,0.6592508792479529,0.4226,True
9.845260770975058-9.93814058956916,0.5949806615904678,0.4226,True
9.93814058956916-10.031020408163265,0.5576564244437043,0.4226,True
10.031020408163265-10.12390022675737,0.5414969083489309,0.4226,True
10.12390022675737-10.216780045351474,0.6256420352968813,0.4226,True
10.216780045351474-10.309659863945578,0.6162281889625696,0.4226,True
10.309659863945578-10.402539682539683,0.5502093344245894,0.4226,True
10.402539682539683-10.495419501133787,0.551557810822488,0.4226,True
10.495419501133787-10.588299319727891,0.5866705873776332,0.4226,True
10.588299319727891-10.681179138321996,0.6248600421975191,0.4226,True
